FG_PCT_home,FT_PCT_home,FG3_PCT_home,AST_home,REB_home,FG_PCT_away,FT_PCT_away,FG3_PCT_away,AST_away,REB_away
0.457,0.76,0.31,23,51,0.463,0.722,0.269,21,44
0.471,0.704,0.415,31,42,0.538,0.909,0.462,28,43
0.506,0.813,0.4,26,37,0.484,0.727,0.41,26,40
0.422,0.8,0.342,26,48,0.413,0.8,0.25,20,46
0.459,0.833,0.333,30,41,0.513,0.795,0.25,26,40
0.483,0.778,0.39,28,40,0.5,0.696,0.368,26,48
0.481,0.706,0.231,25,37,0.506,0.833,0.333,26,36
0.553,0.912,0.536,24,41,0.485,0.846,0.421,28,39
0.517,0.783,0.435,27,46,0.449,0.818,0.273,20,48
0.494,0.857,0.417,21,33,0.551,0.586,0.387,23,38
0.473,0.667,0.31,33,40,0.465,0.75,0.364,29,51
0.446,0.87,0.317,26,41,0.483,0.538,0.27,31,45
0.517,0.889,0.472,32,28,0.547,0.808,0.486,32,40
0.544,1,0.475,30,48,0.457,0.778,0.343,21,32
0.427,0.6,0.343,19,46,0.43,0.909,0.261,16,47
0.434,0.722,0.256,16,52,0.411,0.786,0.3,23,57
0.413,0.857,0.408,26,44,0.47,0.786,0.241,28,56
0.467,0.714,0.4,26,52,0.407,0.769,0.31,18,40
0.455,0.692,0.4,28,47,0.533,0.72,0.444,32,49
0.459,0.889,0.276,23,37,0.4,0.793,0.317,19,51
0.563,0.905,0.436,27,45,0.536,0.667,0.438,26,30
0.524,0.864,0.571,33,42,0.427,0.795,0.242,20,46
0.517,0.647,0.481,24,40,0.416,0.769,0.278,22,45
0.484,0.792,0.333,25,41,0.525,0.625,0.4,26,39
0.443,0.654,0.206,30,50,0.429,0.783,0.531,26,53
0.519,0.708,0.5,21,45,0.461,0.6,0.353,23,36
0.444,0.684,0.313,23,42,0.424,0.88,0.269,22,49
0.425,1,0.361,27,57,0.429,0.792,0.306,24,59
0.607,0.737,0.469,34,42,0.418,0.7,0.306,23,35
0.415,0.704,0.226,17,46,0.48,0.84,0.238,23,37
0.44,0.731,0.294,20,39,0.47,0.808,0.333,26,40
0.48,0.696,0.351,30,54,0.398,0.808,0.219,19,46
0.482,0.958,0.258,33,47,0.464,0.938,0.389,29,36
0.398,0.706,0.3,21,51,0.524,0.667,0.429,34,38
0.466,0.706,0.382,26,45,0.452,0.727,0.362,25,38
0.411,0.929,0.188,19,48,0.434,0.905,0.3,23,45
0.517,0.789,0.378,27,44,0.478,0.769,0.341,27,47
0.5,0.84,0.364,18,35,0.439,0.786,0.34,23,42
0.512,0.792,0.344,26,45,0.389,0.789,0.233,21,45
0.506,0.739,0.15,28,38,0.518,0.87,0.422,27,37
0.4,0.84,0.32,19,39,0.467,0.875,0.429,23,52
0.472,0.895,0.432,26,40,0.468,0.818,0.4,24,36
0.538,0.706,0.5,34,55,0.424,0.696,0.273,20,31
0.519,0.875,0.457,23,41,0.467,0.556,0.289,25,41
0.494,0.941,0.414,23,43,0.513,0.789,0.412,25,33
0.593,0.704,0.469,27,37,0.605,0.793,0.481,32,29
0.472,0.529,0.283,26,45,0.518,0.882,0.444,30,40
0.5,0.88,0.364,30,54,0.402,0.867,0.318,21,40
0.462,1,0.389,34,42,0.524,0.706,0.324,26,36
0.595,0.857,0.528,37,39,0.398,0.905,0.222,13,40
0.435,0.762,0.389,26,34,0.519,0.852,0.417,23,45
0.465,0.864,0.5,28,46,0.494,0.926,0.36,18,39
0.442,0.864,0.302,27,45,0.523,0.793,0.364,30,43
0.481,0.833,0.415,21,44,0.387,0.813,0.333,24,45
0.488,0.818,0.242,24,42,0.402,0.75,0.143,17,45
0.515,0.625,0.367,25,45,0.516,0.786,0.37,26,43
0.383,0.944,0.269,18,43,0.489,0.917,0.432,34,53
0.43,0.8,0.278,25,39,0.4,0.688,0.344,21,48
0.488,0.538,0.382,20,41,0.494,0.815,0.417,26,43
0.61,0.7,0.429,26,53,0.424,0.538,0.394,21,33
0.542,0.913,0.5,31,40,0.488,0.808,0.313,27,35
0.506,0.867,0.351,34,35,0.444,0.875,0.375,23,47
0.523,0.842,0.359,29,38,0.564,0.813,0.375,34,41
0.424,0.829,0.257,22,48,0.42,0.755,0.286,22,47
0.5,0.75,0.405,26,45,0.475,1,0.303,23,34
0.542,0.867,0.367,31,41,0.446,0.818,0.359,18,37
0.489,0.583,0.393,28,42,0.44,0.867,0.188,26,49
0.494,0.846,0.513,30,44,0.412,0.875,0.207,24,47
0.516,0.714,0.459,23,42,0.512,0.853,0.375,22,42
0.482,0.762,0.304,27,47,0.396,0.793,0.361,21,50
0.571,0.857,0.429,38,41,0.469,0.722,0.273,23,32
0.43,0.583,0.323,26,45,0.479,0.824,0.471,26,51
0.471,0.87,0.313,22,40,0.448,0.889,0.333,22,54
0.386,0.792,0.226,22,60,0.326,0.667,0.271,19,47
0.429,0.833,0.471,27,42,0.5,0.852,0.429,25,50
0.373,0.714,0.4,20,37,0.459,0.793,0.37,16,49
0.402,0.8,0.359,22,41,0.573,1,0.475,29,38
0.411,0.75,0.259,21,40,0.376,0.696,0.269,16,56
0.456,0.714,0.333,26,57,0.388,0.76,0.375,25,44
0.511,0.846,0.468,30,44,0.443,0.824,0.365,27,51
0.5,0.778,0.476,33,46,0.438,0.8,0.368,18,44
0.511,0.565,0.385,28,44,0.482,0.737,0.433,23,38
0.518,0.839,0.419,30,36,0.527,0.909,0.371,25,41
0.493,0.913,0.421,23,38,0.463,0.714,0.375,21,40
0.495,0.81,0.464,28,40,0.465,0.739,0.364,18,48
0.584,0.848,0.4,24,45,0.5,0.583,0.371,29,37
0.449,0.654,0.378,31,46,0.5,0.778,0.303,35,51
0.344,0.778,0.303,18,60,0.43,0.762,0.382,19,38
0.505,0.65,0.324,25,46,0.49,0.714,0.442,33,43
0.484,0.833,0.353,25,46,0.476,0.783,0.294,19,47
0.494,0.875,0.444,24,42,0.465,0.684,0.326,29,46
0.36,0.8,0.25,22,40,0.5,0.778,0.412,24,58
0.485,0.786,0.364,30,59,0.36,0.905,0.314,23,43
0.56,0.923,0.44,23,49,0.412,0.806,0.259,20,37
0.418,0.75,0.361,23,37,0.561,0.706,0.55,33,43
0.485,0.714,0.367,24,45,0.5,0.645,0.465,34,45
0.494,0.826,0.314,30,43,0.43,0.929,0.351,28,43
0.488,0.844,0.321,25,39,0.519,0.857,0.375,24,39
0.471,0.71,0.217,26,48,0.511,0.952,0.405,30,41
0.495,0.8,0.346,28,45,0.494,1,0.353,21,37
0.5,0.821,0.421,31,47,0.44,0.5,0.324,26,41
0.494,0.632,0.41,26,33,0.558,0.769,0.394,32,49
0.444,0.871,0.405,22,51,0.419,0.696,0.227,23,38
0.439,0.85,0.463,31,48,0.524,0.724,0.371,24,47
0.506,0.759,0.487,20,47,0.473,0.706,0.353,28,37
0.372,0.813,0.229,19,38,0.469,0.864,0.375,23,53
0.489,0.857,0.372,27,39,0.528,0.719,0.514,21,47
0.487,0.867,0.367,27,41,0.458,0.762,0.344,14,43
0.418,0.737,0.2,23,49,0.514,0.6,0.375,38,51
0.379,0.778,0.366,25,37,0.602,0.824,0.593,35,48
0.403,0.897,0.364,20,44,0.463,0.636,0.294,23,39
0.5,0.708,0.353,29,45,0.544,1,0.529,35,34
0.477,0.719,0.5,28,49,0.439,0.765,0.333,29,43
0.367,0.938,0.25,28,49,0.5,0.714,0.417,25,56
0.429,0.813,0.364,25,48,0.537,0.65,0.394,29,42
0.467,0.842,0.364,31,49,0.538,0.762,0.571,33,37
0.536,0.846,0.371,33,36,0.578,0.875,0.515,28,40
0.536,0.818,0.4,26,44,0.512,0.783,0.385,28,35
0.476,0.923,0.4,25,45,0.409,0.955,0.294,22,40
0.398,0.833,0.354,21,45,0.465,0.862,0.387,21,42
0.391,0.759,0.31,20,43,0.406,0.722,0.27,24,64
0.494,0.727,0.207,30,39,0.47,0.857,0.379,27,40
0.45,0.9,0.414,23,44,0.449,0.8,0.333,25,46
0.375,0.895,0.243,16,45,0.446,0.737,0.405,20,42
0.451,0.7,0.419,28,50,0.38,0.865,0.378,21,45
0.548,0.917,0.447,27,36,0.517,0.808,0.429,23,43
0.516,0.706,0.313,30,45,0.506,0.6,0.387,24,39
0.423,0.821,0.317,25,44,0.471,0.9,0.379,30,57
0.569,0.857,0.364,36,51,0.444,0.742,0.4,24,37
0.398,0.76,0.333,23,53,0.422,0.875,0.357,21,46
0.443,0.933,0.429,20,46,0.419,0.824,0.208,19,40
0.412,0.813,0.324,28,52,0.489,1,0.389,23,47
0.484,0.933,0.4,33,55,0.413,0.696,0.386,27,39
0.551,0.75,0.407,32,39,0.471,0.76,0.387,28,50
0.558,0.71,0.39,21,44,0.5,0.857,0.394,27,33
0.516,0.909,0.367,21,43,0.47,0.963,0.412,26,35
0.465,0.88,0.4,31,49,0.456,1,0.333,24,37
0.478,0.895,0.29,28,47,0.488,0.824,0.375,22,36
0.467,0.8,0.188,23,47,0.422,0.958,0.294,21,42
0.477,0.889,0.314,28,42,0.443,0.931,0.32,25,40
0.477,0.632,0.2,29,39,0.455,0.786,0.306,20,47
0.447,0.586,0.346,23,53,0.422,0.757,0.4,23,54
0.5,0.76,0.385,31,40,0.598,0.8,0.468,41,38
0.4,0.698,0.207,15,54,0.402,0.652,0.325,20,57
0.5,0.765,0.306,27,40,0.447,0.905,0.438,19,48
0.527,0.706,0.452,25,37,0.459,0.667,0.333,21,47
0.323,0.867,0.389,19,50,0.56,0.529,0.45,29,45
0.417,0.781,0.226,19,49,0.477,0.75,0.333,26,36
0.424,0.75,0.242,18,46,0.495,0.786,0.324,30,47
0.512,0.765,0.355,25,32,0.526,0.886,0.2,19,33
0.398,0.769,0.303,27,38,0.455,1,0.297,26,55
0.5,0.783,0.343,24,50,0.5,0.818,0.289,26,44
0.51,0.947,0.425,25,50,0.465,0.692,0.383,25,48
0.523,0.769,0.423,34,48,0.414,0.667,0.326,26,42
0.441,0.722,0.226,23,41,0.474,0.846,0.378,25,45
0.314,0.68,0.136,11,37,0.429,0.788,0.265,20,55
0.452,0.95,0.281,24,36,0.482,0.929,0.367,12,47
0.519,0.815,0.37,31,50,0.326,0.818,0.25,19,36
0.447,0.667,0.353,24,38,0.488,0.895,0.257,26,51
0.5,1,0.5,21,41,0.471,0.85,0.37,26,41
0.489,0.818,0.317,26,41,0.561,0.759,0.514,33,38
0.538,0.667,0.5,35,38,0.5,0.889,0.281,25,40
0.38,0.88,0.179,17,53,0.38,0.826,0.351,24,52
0.475,0.833,0.364,30,52,0.466,0.667,0.324,24,45
0.5,0.714,0.41,26,36,0.53,0.8,0.5,35,53
0.478,0.846,0.382,33,51,0.355,0.826,0.308,23,47
0.462,0.652,0.364,27,47,0.452,0.682,0.289,28,48
0.488,0.794,0.4,29,38,0.448,0.769,0.333,22,48
0.538,0.786,0.452,26,50,0.443,0.682,0.302,22,33
0.413,0.795,0.302,21,67,0.277,0.737,0.25,11,42
0.443,0.8,0.37,19,43,0.434,0.792,0.387,22,45
0.548,0.533,0.346,28,47,0.473,0.696,0.308,19,43
0.548,0.707,0.313,39,41,0.511,0.739,0.425,29,41
0.488,0.722,0.344,23,40,0.511,0.826,0.429,19,47
0.482,0.763,0.472,25,37,0.506,0.9,0.444,24,45
0.54,0.793,0.469,31,48,0.538,0.727,0.452,33,27
0.523,0.813,0.405,33,36,0.518,0.862,0.323,28,42
0.524,0.667,0.382,23,45,0.454,0.704,0.192,27,40
0.424,0.895,0.2,20,47,0.449,0.765,0.442,27,48
0.459,0.652,0.306,24,58,0.394,0.615,0.25,17,45
0.54,0.791,0.303,32,47,0.475,0.69,0.424,30,49
0.375,0.727,0.324,17,43,0.472,0.633,0.448,19,57
0.476,0.741,0.389,22,39,0.489,0.667,0.36,24,45
0.462,0.793,0.381,29,50,0.459,0.8,0.297,28,51
0.486,0.842,0.464,20,38,0.341,0.826,0.171,13,41
0.5,0.667,0.412,25,55,0.43,0.688,0.314,25,41
0.565,0.828,0.405,36,42,0.471,0.833,0.421,24,41
0.494,0.857,0.439,25,47,0.5,0.474,0.441,22,41
0.447,0.667,0.5,28,52,0.39,0.643,0.25,24,55
0.547,0.906,0.424,23,30,0.537,0.875,0.357,30,41
0.541,0.889,0.483,37,41,0.418,0.824,0.361,18,39
0.398,0.647,0.324,22,54,0.379,0.952,0.297,24,55
0.5,0.727,0.385,25,40,0.489,0.667,0.323,20,50
0.515,0.765,0.306,29,52,0.348,0.654,0.268,15,52
0.43,0.857,0.257,19,39,0.538,0.783,0.468,35,41
0.453,0.806,0.394,27,41,0.458,0.682,0.278,25,44
0.447,0.815,0.5,28,33,0.465,0.7,0.448,23,49
0.524,0.857,0.45,26,33,0.591,0.857,0.538,30,32
0.517,0.8,0.432,33,51,0.424,0.769,0.325,24,44
0.47,0.773,0.387,24,30,0.519,0.821,0.333,27,35
0.434,0.75,0.269,12,41,0.452,0.75,0.297,25,42
0.529,0.75,0.459,29,32,0.543,0.769,0.5,26,37
0.495,0.5,0.375,28,40,0.459,0.844,0.313,26,49
0.548,0.867,0.63,32,46,0.488,0.773,0.343,26,36
0.468,0.667,0.323,21,37,0.506,0.727,0.447,32,45
